"","predicate","N","response","bootsci_high","bootsci_low"
"402","mighty",24,0.663333333333333,0.745416666666667,0.567916666666667
"403","militant",17,0.487058823529412,0.616470588235294,0.358823529411765
"404","military",21,0.157142857142857,0.26525,0.0742857142857143
"405","minor",20,0.56,0.6815,0.4364875
"406","miserable",17,0.695882352941177,0.79,0.594117647058824
"407","mobile",16,0.30625,0.443765625,0.174984375
"408","modern",24,0.51625,0.609583333333333,0.42040625
"409","molecular",26,0.277307692307692,0.404625,0.16
"410","monetary",17,0.215294117647059,0.325882352941176,0.128235294117647
"411","monthly",19,0.103157894736842,0.186315789473684,0.0373684210526316
"412","moral",26,0.702692307692308,0.811923076923077,0.578846153846154
"413","morphological",26,0.325,0.425,0.224615384615385
"414","Moslem",46,0.3,0.37304347826087,0.230217391304348
"415","mountainous",24,0.37,0.482083333333333,0.262083333333333
"416","multiple",25,0.25,0.37041,0.1388
"417","municipal",25,0.3256,0.4316,0.228
"418","murderous",21,0.520952380952381,0.629047619047619,0.417130952380952
"419","musical",25,0.4428,0.562,0.3252
"420","Muslim",51,0.192352941176471,0.266666666666667,0.124117647058824
"421","mythical",25,0.4836,0.5848,0.3812
"422","narrow",20,0.43,0.5485,0.3229875
"423","nasty",31,0.805483870967742,0.870645161290323,0.72741935483871
"424","national",20,0.308,0.4365125,0.1925
"425","natural",12,0.5025,0.620833333333333,0.373333333333333
"426","naval",16,0.2,0.294375,0.112484375
"427","near",20,0.591,0.7105,0.4634875
"428","nearby",22,0.551363636363636,0.674545454545455,0.42
"429","necessary",19,0.638421052631579,0.760526315789474,0.505789473684211
"430","negative",31,0.635806451612903,0.714201612903226,0.547096774193548
"431","neoclassical",17,0.392941176470588,0.513529411764706,0.276470588235294
"432","neurological",19,0.408421052631579,0.548947368421053,0.269986842105263
"433","new",24,0.451666666666667,0.568354166666666,0.337489583333333
"434","next",23,0.277391304347826,0.387402173913043,0.175641304347826
"435","nice",16,0.736875,0.844375,0.616859375
"436","nineteenth",25,0.2264,0.3408,0.1224
"437","noble",26,0.680384615384615,0.758471153846154,0.599230769230769
"438","noisy",21,0.675714285714286,0.771428571428571,0.568571428571429
"439","normal",25,0.7308,0.81921,0.6308
"440","northeastern",17,0.297647058823529,0.457647058823529,0.154102941176471
"441","northern",16,0.37375,0.52125,0.236875
"442","notable",31,0.651290322580645,0.730645161290323,0.570314516129032
"443","nuclear",19,0.284210526315789,0.410013157894737,0.168947368421053
"444","numerous",18,0.562777777777778,0.699444444444444,0.425555555555556
"445","nutritional",11,0.221818181818182,0.364545454545455,0.102727272727273
"446","offensive",21,0.788571428571429,0.871428571428571,0.693809523809524
"447","official",25,0.3452,0.45241,0.2476
"448","oily",23,0.403913043478261,0.540434782608696,0.273478260869565
"449","old",22,0.569090909090909,0.675,0.467272727272727
"450","olympic",23,0.388695652173913,0.503913043478261,0.27304347826087
"451","online",10,0.306,0.534,0.105975
"452","only",19,0.243157894736842,0.352631578947368,0.138947368421053
"453","open",23,0.489130434782609,0.613489130434782,0.363478260869565
"454","optical",20,0.1945,0.3005125,0.1055
"455","orange",20,0.1775,0.2725,0.0919875
"456","ordinary",28,0.701071428571429,0.767857142857143,0.629642857142857
"457","organized",25,0.5324,0.63401,0.4308
"458","original",14,0.689285714285714,0.791428571428571,0.582857142857143
"459","orthographic",25,0.228,0.3216,0.1468
"460","other",21,0.586666666666667,0.70572619047619,0.467142857142857
"461","out",23,0.294347826086957,0.407391304347826,0.190869565217391
"462","outer",20,0.3545,0.439,0.2705
"463","outstanding",20,0.7625,0.8315,0.6785
"464","overall",16,0.31875,0.437515625,0.21
"465","own",26,0.431153846153846,0.55,0.318076923076923
