"predicate","response"
"tremendous",0.84
"renal",0.36
"chemical",0.25
"Egyptian",0.17
"ulterior",0.85
"scratchy",0.87
"double",0.12
"official",0.02
"fresh",0.53
"unknown",0.67
"above",0.15
"Vietnamese",0.07
"new",0.29
"old",0.34
"actual",0.56
"high",0.11
"exact",0.87
"possible",0.89
"flashy",0.96
"pertinent",0.4
"logical",0.35
"Russian",0.07
"young",0.69
"warm",0.95
"significant",0.59
"severe",0.76
"unusual",0.77
"useful",0.56
"typical",0.39
"free",0.26
"ancient",0.61
"false",0.36
"dark",0.56
"schizophrenic",0.71
"disgusting",0.6
"actual",0.43
"polygamous",0.75
"logical",0.5
"friendly",0.66
"unlawful",0.74
"local",0.31
"mountainous",0.54
"mere",0.64
"qualified",0.85
"national",0.46
"Thai",0.63
"Israeli",0.56
"Japanese",0.73
"confidential",0.52
"romantic",0.73
"Canadian",0.48
"wide",0.61
"authentic",0.67
"nuclear",0.41
"fabulous",0.62
"tactical",0.59
"shrill",0.69
"coincidental",0.5
"religious",0.89
"horrendous",0.34
"northern",0.28
"military",0.04
"lucky",0.67
"corrupt",0.72
"limited",0.42
"waterproof",0.05
"public",0.06
"global",0.02
"Republican",0.04
"average",0.52
"American",0.03
"annual",0.05
"pleasant",0.78
"renal",0.02
"accurate",0.01
"interesting",0.94
"urgent",0.63
"legal",0.04
"main",0.78
"Muslim",0.04
"southwestern",0.31
"lonely",0.78
"religious",0.38
"personal",0.1
"parliamentary",0.02
"innocent",0.02
"wrong",0.25
"Parisian",0.03
"different",0.25
"asymmetrical",0.02
"foreign",0.65
"cute",0.72
"terrorist",0.35
"bland",0.68
"wonderful",0.74
"strategic",0.38
"above",0.2
"tiny",0.52
"persistent",0.55
"overall",0.25
"human",0.49
"ancient",0.51
"fabulous",0.65
"false",0.31
"French",0.27
"strong",0.67
"uninterrupted",0.32
"innocent",0.64
"total",0.47
"blind",0.24
"veritable",0.58
"shrill",0.68
"different",0.41
"American",0.3
"typical",0.63
"prime",0.71
"bright",0.82
"fleeting",0.53
"horrendous",0.87
"brave",0.7
"electoral",0.01
"front",0.26
"scratchy",0.84
"entire",0.31
"foreign",0.08
"negative",0.83
"little",0.91
"northeastern",0.64
"human",0.27
