Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	complexity	context	item1	item2	list	item	adjective
A2RHE	Female	High School Graduate	English	30	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AZ99T	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A15GL	Male	Bachelors degree	English	32	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3W0K	Male	Bachelors degree	English	25	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1ETE	Female	Some college, no degree	English	47	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3GE8	Female	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1Z8A	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2JCX	Male	Bachelors degree	english	35	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3LVO	Female	Bachelors degree	English	28	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1MTR	Female	Associates degree	English	57	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2YTO	Female	Associates degree	English	46	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A23NU	Female	Bachelors degree	English	22	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AYCHP	Female	Bachelors degree	English	46	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2B3E	Male	Bachelors degree	English	31	Nonstand_Neg_Morph_Accurate_Inaccurate	1	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1WVL	Male	Bachelors degree	English	29	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2QBF	Male	Associates degree	English	38	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3KWA	Male	High School Graduate	English	31	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AERTM	Male	Bachelors degree	english	30	Nonstand_Neg_Morph_Accurate_Inaccurate	3	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3EZ3	Male	High School Graduate	English	40	Nonstand_Neg_Morph_Accurate_Inaccurate	1	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2PIF	Female	Some college, no degree	english	21	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3D2G	Female	Bachelors degree	english	35	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3VL1	Male	Bachelors degree	English	56	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3LET	Male	Bachelors degree	english	23	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1C3E	Male	Graduate degree (Masters, Doctorate, etc.)	ENGLISH	35	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A4I69	Male	Graduate degree (Masters, Doctorate, etc.)	english	30	Nonstand_Neg_Morph_Accurate_Inaccurate	3	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1NLK	Male	Bachelors degree	english	58	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2541	Male	Associates degree	English	29	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A230G	Female	Some college, no degree	English	28	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A3KP8	Female	Associates degree	English	56	Nonstand_Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A4W9A	Male	Bachelors degree	english	39	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A34XU	Female	Bachelors degree	English	24	Nonstand_Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1V2H	Male	Some college, no degree	English	60	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A95E6	Female	Bachelors degree	ENGLISH	35	Nonstand_Neg_Morph_Accurate_Inaccurate	NA	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1BVG	Female	High School Graduate	english	43	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2RWL	Male	Bachelors degree	Chinese	28	Nonstand_Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2D34	Male	Bachelors degree	english	56	Nonstand_Neg_Morph_Accurate_Inaccurate	NA	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
ASTR3	Male	Associates degree	english	30	Nonstand_Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2XCE	Male	Graduate degree (Masters, Doctorate, etc.)	English	28	Nonstand_Neg_Morph_Accurate_Inaccurate	1	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AOFDU	Female	Bachelors degree	english	31	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
ARWN6	Male	Bachelors degree	english	33	Nonstand_Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A1GKD	Female	Associates degree	eng	58	Nonstand_Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AQ9WD	Female	Bachelors degree	English	26	Nonstand_Neg_Morph_Accurate_Inaccurate	1	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2GJJ	Male	Bachelors degree	ENGLISH	28	Nonstand_Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
AEF74	Male	Bachelors degree	English	41	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2TKF	Female	Bachelors degree	english	35	Nonstand_Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Nonstand	Accurate	Inaccurate	a	Accurate_Inaccurate	inaccurate
A2RHE	Female	High School Graduate	English	30	Stand_Neg_Morph_Certain_Uncertain	7	Neg	Morph	Stand	Certain	Uncertain	a	Certain_Uncertain	uncertain
