	condition	predicate	response	slide_number	language	enjoyment	age	gender	education	participant_id	negated	valence	adjective
0	nNegative	not rude	0.27	3	tomato	-1		Other	-1	1			rude
1	nPositive	not tall	0.66	4	tomato	-1		Other	-1	1			tall
2	nNegative	not unfair	0.34	5	tomato	-1		Other	-1	1			unfair
3	nNegative	not short	0.63	6	tomato	-1		Other	-1	1			short
4	nPositive	not possible	0.08	7	tomato	-1		Other	-1	1			possible
0	negative	short	0.48	3	blue	-1			-1	2			short
1	nPositive	not kind	0.79	4	blue	-1			-1	2			kind
2	nPositive	not polite	0.27	5	blue	-1			-1	2			polite
3	nNegative	not unsatisfactory	0.5	6	blue	-1			-1	2			unsatisfactory
0	nPositive	not accurate	0.83	3		-1			-1	3			accurate
1	nPositive	not useful	0.28	4		-1			-1	3			useful
2	positive	good	0.55	5		-1			-1	3			good
3	positive	long	0.14	6		-1			-1	3			long
4	nPositive	not polite	0.62	7		-1			-1	3			polite
5	negative	uncertain	0.33	8		-1			-1	3			uncertain
6	nNegative	not rude	0.68	9		-1			-1	3			rude
0	negative	bad	0.54	3		-1			-1	4	false	negative	bad
1	NPositive	not satisfactory	0.28	4		-1			-1	4	true	positive	satisfactory
2	NPositive	not possible	0.7	5		-1			-1	4	true	positive	possible
0	NNegative	not impolite	0.74	3		-1			-1	5	true	negative	impolite
1	positive	strong	0.33	4		-1			-1	5	false	positive	strong
0	negative	weak	0.59	3		-1			-1	6	false	negative	weak
1	NPositive	not tall	0.15	4		-1			-1	6	true	positive	tall
2	negative	short	0.82	5		-1			-1	6	false	negative	short
3	negative	impolite	0.29	6		-1			-1	6	false	negative	impolite
4	NNegative	not poor	0.3	7		-1			-1	6	true	negative	poor
5	NNegative	not useless	0.59	8		-1			-1	6	true	negative	useless
6	negative	unlucky	0.34	9		-1			-1	6	false	negative	unlucky
7	negative	rude	0.74	10		-1			-1	6	false	negative	rude
8	negative	bad	0.34	11		-1			-1	6	false	negative	bad
9	NNegative	not unfriendly	0.57	12		-1			-1	6	true	negative	unfriendly
10	NPositive	not satisfactory	0.45	13		-1			-1	6	true	positive	satisfactory
11	NNegative	not uncertain	0.73	14		-1			-1	6	true	negative	uncertain
12	NNegative	not sad	0.19	15		-1			-1	6	true	negative	sad
13	NPositive	not possible	0.82	16		-1			-1	6	true	positive	possible
14	NPositive	not kind	0.56	17		-1			-1	6	true	positive	kind
15	NPositive	not happy	0.33	18		-1			-1	6	true	positive	happy
16	negative	uninteresting	0.62	19		-1			-1	6	false	negative	uninteresting
17	NNegative	not unfair	0.3	20		-1			-1	6	true	negative	unfair
18	negative	unsatisfactory	0.69	21		-1			-1	6	false	negative	unsatisfactory
19	NPositive	not accurate	0.4	22		-1			-1	6	true	positive	accurate
0	NPositive	not polite	0.4	3	ENGLISH	2	31	Male	4	7	true	positive	polite
1	NNegative	not unfair	0.36	4	ENGLISH	2	31	Male	4	7	true	negative	unfair
2	negative	uninteresting	0.19	5	ENGLISH	2	31	Male	4	7	false	negative	uninteresting
3	NPositive	not lucky	0.21	6	ENGLISH	2	31	Male	4	7	true	positive	lucky
4	positive	certain	0.76	7	ENGLISH	2	31	Male	4	7	false	positive	certain
5	NPositive	not friendly	0.45	8	ENGLISH	2	31	Male	4	7	true	positive	friendly
6	positive	kind	0.63	9	ENGLISH	2	31	Male	4	7	false	positive	kind
7	negative	useless	0.58	10	ENGLISH	2	31	Male	4	7	false	negative	useless
8	negative	short	0.59	11	ENGLISH	2	31	Male	4	7	false	negative	short
9	positive	rich	0.53	12	ENGLISH	2	31	Male	4	7	false	positive	rich
10	NNegative	not inaccurate	0.26	13	ENGLISH	2	31	Male	4	7	true	negative	inaccurate
11	NNegative	not short	0.28	14	ENGLISH	2	31	Male	4	7	true	negative	short
12	NNegative	not unsatisfactory	0.25	15	ENGLISH	2	31	Male	4	7	true	negative	unsatisfactory
13	positive	strong	0.5	16	ENGLISH	2	31	Male	4	7	false	positive	strong
